year,educ,age,exp,exp_sq,non_white,y,lny
1996,9,23,7,49,0,3.456336,1.240209068
1996,10,27,10,100,0,3.457107,1.240432112
2001,5,24,12,144,0,3.457261,1.240476657
1996,9,22,6,36,0,3.457308,1.240490252
1999,8,46,31,961,0,3.457356,1.240504135
1998,10,35,18,324,1,3.458734,1.240902626
2000,14,45,24,576,0,3.458835,1.240931827
2004,11,50,32,1024,0,3.459282,1.241061053
2000,4,44,33,1089,0,3.45944,1.241106726
2000,13,39,19,361,0,3.459761,1.241199512
1997,5,38,26,676,0,3.460161,1.24131512
2000,11,49,31,961,0,3.460754,1.241486484
2000,11,22,4,16,1,3.461132,1.241595703
2002,10,18,1,1,0,3.461476,1.241695088
1998,0,48,41,1681,0,3.461539,1.241713288
2002,9,29,13,169,0,3.461725,1.24176702
2000,15,23,1,1,0,3.461918,1.241822771
1998,10,19,2,4,0,3.463156,1.242180312
1998,9,23,7,49,0,3.46317,1.242184355
1997,12,22,3,9,0,3.463217,1.242197926
1996,5,49,37,1369,0,3.463636,1.242318904
1998,7,32,18,324,0,3.463836,1.242376645
2003,14,44,23,529,0,3.464122,1.242459209
2001,7,18,4,16,1,3.464407,1.242541478
1996,6,29,16,256,0,3.464514,1.242572363
1998,15,22,0,0,0,3.465208,1.24277266
2004,14,28,7,49,0,3.465789,1.242940312
1998,13,34,14,196,1,3.465847,1.242957047
1997,11,42,24,576,0,3.466264,1.243077357
2003,12,50,31,961,1,3.4666,1.243174287
1997,10,40,23,529,0,3.46661,1.243177171
1999,6,34,21,441,1,3.467115,1.243322836
2003,14,46,25,625,0,3.467308,1.2433785
2000,7,27,13,169,0,3.469422,1.243988009
1997,8,21,6,36,0,3.469713,1.244071882
1998,7,43,29,841,0,3.47009,1.24418053
1996,10,21,4,16,0,3.470665,1.244346218
2002,9,41,25,625,0,3.471752,1.244659366
1996,1,47,39,1521,0,3.472873,1.244982205
2000,13,23,3,9,0,3.474354,1.245408562
1996,12,22,3,9,0,3.474737,1.245518793
2005,13,22,2,4,1,3.475201,1.245652319
2000,7,23,9,81,0,3.476355,1.245984331
1996,8,25,10,100,0,3.477069,1.246189698
1999,15,32,10,100,0,3.477361,1.246273673
1998,15,23,1,1,0,3.477803,1.246400773
2000,8,33,18,324,0,3.478022,1.246463741
2002,15,38,16,256,0,3.478638,1.246640838
2003,9,43,27,729,1,3.478685,1.246654349
2000,12,27,8,64,0,3.478778,1.246681083
2001,15,41,19,361,1,3.479157,1.246790023
2004,8,46,31,961,1,3.47984,1.246986316
1997,8,28,13,169,0,3.481058,1.247336271
1998,11,32,14,196,0,3.48138,1.247428767
2002,15,20,-2,4,0,3.481619,1.247497415
1997,6,45,32,1024,0,3.481819,1.247554858
1999,8,29,14,196,0,3.483473,1.248029785
1998,9,28,12,144,0,3.484321,1.24827319
1996,13,20,0,0,0,3.485348,1.248567896
2000,3,28,18,324,0,3.485631,1.24864909
1996,9,30,14,196,0,3.485975,1.248747776
2000,12,22,3,9,0,3.48638,1.248863949
1996,11,35,17,289,0,3.486453,1.248884887
1996,4,41,30,900,0,3.486694,1.248954009
1998,10,19,2,4,0,3.487013,1.249045496
1999,13,31,11,121,0,3.488934,1.249596245
2000,7,21,7,49,0,3.489096,1.249642677
2000,5,38,26,676,0,3.489513,1.249762185
1998,11,41,23,529,0,3.491494,1.250329725
1999,3,27,17,289,0,3.491877,1.250439414
1997,13,32,12,144,1,3.492146,1.250516447
1997,6,44,31,961,0,3.492229,1.250540214
2004,2,32,23,529,0,3.492759,1.250691968
1997,4,38,27,729,0,3.492816,1.250708288
2003,10,45,28,784,0,3.493973,1.251039484
2002,8,30,15,225,0,3.494008,1.251049501
2002,12,40,21,441,0,3.494093,1.251073828
2005,8,19,4,16,0,3.494303,1.251133928
1999,4,41,30,900,0,3.495023,1.251339956
1996,11,23,5,25,0,3.49514,1.251373432
1998,9,21,5,25,1,3.496357,1.251721569
1999,12,33,14,196,0,3.496446,1.251747024
2000,7,37,23,529,0,3.496655,1.251806797
1999,13,21,1,1,0,3.496794,1.251846549
1996,3,50,40,1600,0,3.497504,1.252049571
1996,4,41,30,900,0,3.49865,1.25237718
2003,8,20,5,25,0,3.499015,1.2524815
1997,13,36,16,256,0,3.499899,1.252734111
1997,10,28,11,121,0,3.501085,1.25307292
1996,6,32,19,361,0,3.501928,1.253313674
1999,8,46,31,961,1,3.501935,1.253315673
1998,10,24,7,49,0,3.503796,1.253846952
1997,5,31,19,361,0,3.504106,1.253935424
2002,11,22,4,16,0,3.505075,1.254211918
1996,10,21,4,16,0,3.505257,1.254263842
1998,11,23,5,25,0,3.505397,1.254303781
2003,8,18,3,9,1,3.506133,1.254513721
1998,12,27,8,64,0,3.506218,1.254537964
1997,7,21,7,49,0,3.508287,1.255127884
1997,7,48,34,1156,0,3.509117,1.255364439
1999,9,23,7,49,1,3.510137,1.255655068
1996,8,18,3,9,1,3.510475,1.255751356
1997,1,21,13,169,1,3.510538,1.255769302
1997,4,44,33,1089,0,3.510746,1.255828551
1997,7,37,23,529,1,3.511361,1.256003712
1996,13,23,3,9,0,3.511371,1.25600656
2000,7,35,21,441,1,3.511906,1.25615891
1999,7,22,8,64,0,3.512107,1.256216142
1999,5,42,30,900,0,3.512187,1.25623892
2004,7,37,23,529,0,3.513111,1.25650197
1999,11,18,0,0,0,3.514172,1.256803936
1998,6,40,27,729,0,3.515271,1.25711662
1996,7,18,4,16,0,3.515569,1.25720139
1996,9,34,18,324,0,3.517974,1.257885256
2005,13,35,15,225,1,3.518129,1.257929314
2000,13,43,23,529,0,3.518532,1.258043857
2002,13,36,16,256,0,3.518873,1.258140768
2005,8,22,7,49,1,3.519001,1.258177143
1997,11,21,3,9,0,3.520026,1.258468376
1996,10,29,12,144,0,3.520555,1.258618648
2002,8,19,4,16,0,3.520826,1.258695621
1996,11,33,15,225,0,3.52169,1.258940988
1999,14,32,11,121,0,3.522247,1.259099138
1998,10,20,3,9,0,3.523427,1.259434096
1999,5,34,22,484,0,3.524271,1.259673606
2000,13,19,-1,1,0,3.52535,1.259979722
2002,10,38,21,441,0,3.525371,1.259985679
1999,8,38,23,529,1,3.526111,1.260195564
1999,11,20,2,4,0,3.528599,1.260900908
2004,1,41,33,1089,0,3.528664,1.260919329
1999,10,24,7,49,0,3.528864,1.260976006
2005,17,22,-2,4,1,3.528964,1.261004343
1997,4,34,23,529,0,3.531067,1.261600092
1997,10,34,17,289,0,3.531393,1.261692411
2002,13,19,-1,1,0,3.531613,1.261754707
1996,5,22,10,100,0,3.532338,1.261959975
1998,8,32,17,289,0,3.533087,1.262171993
2003,4,24,13,169,0,3.535059,1.262729989
2004,10,32,15,225,1,3.535706,1.262912997
1996,10,27,10,100,0,3.536298,1.263080417
2000,2,46,37,1369,0,3.53636,1.26309795
1996,10,21,4,16,0,3.537156,1.263323014
1997,12,31,12,144,0,3.538433,1.263683974
1996,13,50,30,900,0,3.538515,1.263707148
1996,10,35,18,324,0,3.53974,1.264053278
2005,18,23,-2,4,0,3.540385,1.264235478
2000,8,20,5,25,0,3.540844,1.264365117
2000,8,48,33,1089,0,3.541656,1.264594414
2000,8,18,3,9,0,3.541905,1.264664718
2005,1,43,35,1225,1,3.541975,1.264684481
2000,11,20,2,4,0,3.542191,1.264745462
2004,4,43,32,1024,1,3.542318,1.264781315
1996,12,44,25,625,1,3.542551,1.264847089
1997,6,22,9,81,0,3.542646,1.264873906
2000,8,24,9,81,0,3.543621,1.265149086
2000,15,22,0,0,0,3.54436,1.265357608
2004,1,47,39,1521,1,3.54623,1.265885067
1996,12,50,31,961,0,3.5465,1.265961202
2000,1,38,30,900,0,3.546676,1.266010827
2005,3,31,21,441,0,3.547076,1.266123602
1999,2,25,16,256,0,3.548884,1.266633188
1997,6,35,22,484,0,3.550068,1.266966758
2001,9,26,10,100,1,3.550115,1.266979997
1998,4,32,21,441,0,3.550393,1.267058302
1997,8,25,10,100,0,3.550913,1.267204754
1997,15,28,6,36,0,3.55134,1.267324997
1999,3,44,34,1156,0,3.551419,1.267347242
2003,6,21,8,64,0,3.551763,1.2674441
2000,13,43,23,529,0,3.552466,1.26764201
1998,3,46,36,1296,0,3.552702,1.267708441
1998,10,27,10,100,1,3.553836,1.268027583
1997,6,32,19,361,0,3.554035,1.268083578
1998,13,19,-1,1,0,3.554117,1.26810665
1997,8,34,19,361,0,3.554871,1.268318776
1999,8,41,26,676,0,3.554891,1.268324402
1997,11,39,21,441,0,3.555429,1.268475731
2004,9,31,15,225,0,3.55578,1.268574448
2000,7,36,22,484,0,3.556163,1.268682155
1996,2,50,41,1681,0,3.556543,1.268789006
1999,11,50,32,1024,0,3.557142,1.268957413
1999,14,45,24,576,0,3.558306,1.269284589
1997,12,29,10,100,0,3.558327,1.269290491
2004,4,40,29,841,1,3.559338,1.269574573
1996,15,43,21,441,0,3.561048,1.270054884
1997,2,42,33,1089,0,3.561635,1.270219709
2005,11,23,5,25,0,3.563565,1.270761448
1998,8,27,12,144,0,3.563744,1.270811678
1998,2,45,36,1296,0,3.565061,1.271181165
1997,12,19,0,0,0,3.565087,1.271188457
2003,12,29,10,100,1,3.565391,1.271273725
1996,13,36,16,256,0,3.565446,1.271289151
2003,8,23,8,64,0,3.566128,1.271480413
1998,12,20,1,1,0,3.566569,1.271604069
1998,15,39,17,289,0,3.567067,1.271743689
1998,7,35,21,441,0,3.567214,1.271784899
1997,13,22,2,4,0,3.56735,1.271823023
2000,7,37,23,529,1,3.56738,1.271831433
2001,10,22,5,25,0,3.567647,1.271906275
1999,7,22,8,64,0,3.568653,1.272188214
2002,7,39,25,625,1,3.568734,1.272210911
1998,10,18,1,1,0,3.568887,1.272253782
1996,6,38,25,625,0,3.570729,1.272769777
1997,14,32,11,121,0,3.571686,1.273037753
2000,12,18,-1,1,0,3.571896,1.273096547
1997,16,44,21,441,0,3.572403,1.273238479
1997,5,50,38,1444,0,3.572538,1.273276268
2003,11,36,18,324,0,3.572787,1.273345963
1997,10,35,18,324,0,3.573091,1.273431048
2003,12,23,4,16,0,3.574163,1.273731023
1996,9,36,20,400,0,3.574239,1.273752286
1998,13,49,29,841,1,3.574422,1.273803485
2003,14,43,22,484,0,3.574643,1.273865311
1996,5,21,9,81,0,3.575152,1.274007693
1998,10,38,21,441,0,3.575574,1.274125723
1996,7,22,8,64,0,3.575944,1.274229197
1999,4,44,33,1089,0,3.576142,1.274284566
1999,6,48,35,1225,0,3.576733,1.274449814
1998,10,38,21,441,0,3.577139,1.274563319
2003,14,22,1,1,1,3.57762,1.274697775
1998,12,33,14,196,1,3.577694,1.274718459
1996,4,25,14,196,0,3.577739,1.274731037
2003,5,42,30,900,0,3.578333,1.27489705
1996,3,50,40,1600,0,3.578795,1.275026152
1998,13,44,24,576,0,3.578828,1.275035373
2002,16,41,18,324,1,3.578903,1.275056329
2000,13,18,-2,4,0,3.579142,1.275123107
1997,4,40,29,841,0,3.579528,1.275230948
2002,11,28,10,100,1,3.581856,1.275881102
2000,10,45,28,784,0,3.582616,1.27609326
2005,11,37,19,361,1,3.583116,1.276232813
1999,15,36,14,196,0,3.584589,1.276643823
2005,11,18,0,0,1,3.584775,1.276695711
1999,8,39,24,576,0,3.58539,1.276867255
1996,6,41,28,784,0,3.586573,1.27719715
1998,5,48,36,1296,0,3.58715,1.277358015
1998,10,47,30,900,0,3.587344,1.277412096
2002,7,46,32,1024,0,3.587816,1.277543661
1998,1,35,27,729,0,3.588675,1.277783054
2001,2,50,41,1681,1,3.588743,1.277802002
1999,12,36,17,289,0,3.589503,1.278013753
2003,13,19,-1,1,0,3.590451,1.278277821
2003,12,38,19,361,0,3.591029,1.278438791
1999,6,35,22,484,1,3.5921,1.27873699
2000,11,26,8,64,0,3.592369,1.278811873
2002,12,27,8,64,0,3.592875,1.278952718
2000,9,24,8,64,1,3.593511,1.279129719
1996,5,23,11,121,0,3.594214,1.27932533
1998,10,24,7,49,0,3.594727,1.279468049
2004,9,20,4,16,0,3.594795,1.279486966
2003,13,19,-1,1,0,3.59504,1.279555118
2003,0,43,36,1296,0,3.595073,1.279564297
2004,11,30,12,144,0,3.595164,1.279589609
2001,5,36,24,576,0,3.595288,1.279624099
1998,11,21,3,9,0,3.595477,1.279676667
1998,7,22,8,64,0,3.595517,1.279687792
1996,13,33,13,169,0,3.595639,1.279721722
1997,9,23,7,49,0,3.59576,1.279755374
2003,11,43,25,625,1,3.597256,1.280171333
1999,5,24,12,144,0,3.59745,1.280225261
1996,6,28,15,225,1,3.597553,1.280253892
1997,6,32,19,361,0,3.597646,1.280279743
1996,7,25,11,121,1,3.599314,1.280743272
2000,5,18,6,36,0,3.59981,1.280881066
1996,12,22,3,9,0,3.60018,1.280983844
1997,9,36,20,400,0,3.600187,1.280985789
2005,12,19,0,0,0,3.602176,1.281538107
1998,2,47,38,1444,0,3.602268,1.281563647
1998,1,21,13,169,0,3.602869,1.281730473
1996,5,28,16,256,0,3.60287,1.28173075
1998,10,22,5,25,0,3.602998,1.281766277
1998,6,39,26,676,0,3.603505,1.281906983
2002,4,18,7,49,0,3.603558,1.281921691
1996,11,21,3,9,0,3.603863,1.282006326
1997,7,45,31,961,1,3.604741,1.282249923
2000,11,41,23,529,0,3.604905,1.282295418
1996,7,32,18,324,0,3.60531,1.282407759
2003,2,47,38,1444,0,3.605702,1.282516481
1999,12,42,23,529,0,3.60571,1.2825187
1998,12,22,3,9,0,3.605759,1.282532289
2000,10,24,7,49,0,3.605954,1.282586368
2004,8,42,27,729,0,3.606827,1.282828438
1997,5,26,14,196,0,3.606877,1.282842301
1997,4,44,33,1089,0,3.607309,1.282962065
2003,11,50,32,1024,1,3.60755,1.283028872
1997,6,20,7,49,0,3.608202,1.283209587
1999,3,44,34,1156,0,3.608494,1.283290511
1998,11,48,30,900,0,3.608707,1.283349536
2001,7,36,22,484,0,3.60883,1.28338362
1999,8,18,3,9,0,3.609086,1.283454555
1996,12,20,1,1,0,3.609125,1.283465361
2000,9,46,30,900,0,3.609444,1.283553744
2000,3,49,39,1521,0,3.609673,1.283617187
1998,7,29,15,225,0,3.610631,1.283882549
1999,1,18,10,100,0,3.610862,1.283946525
1999,14,24,3,9,0,3.610932,1.283965911
1997,12,24,5,25,0,3.613762,1.284749335
1999,7,28,14,196,0,3.614003,1.284816022
2003,13,30,10,100,0,3.614386,1.284921993
1996,5,33,21,441,0,3.615056,1.285107347
2003,10,45,28,784,0,3.615308,1.285177053
1998,5,29,17,289,0,3.61598,1.285362912
2002,10,42,25,625,0,3.616232,1.2854326
1999,9,24,8,64,0,3.617253,1.285714898
2002,10,39,22,484,0,3.619033,1.286206863
2000,5,42,30,900,1,3.619259,1.286269309
1996,6,39,26,676,0,3.619326,1.286287821
1998,11,23,5,25,1,3.619416,1.286312687
2002,14,20,-1,1,0,3.619539,1.28634667
2001,3,38,28,784,1,3.619895,1.28644502
1997,3,33,23,529,0,3.621261,1.286822308
2000,15,22,0,0,0,3.621426,1.286867871
2002,8,19,4,16,0,3.622424,1.287143415
1996,9,28,12,144,0,3.622993,1.28730048
1999,8,30,15,225,0,3.623212,1.287360925
1997,10,24,7,49,0,3.62353,1.287448689
1998,12,43,24,576,0,3.623884,1.287546379
2000,11,33,15,225,1,3.624558,1.28773235
1998,9,22,6,36,0,3.625071,1.287873874
2002,11,21,3,9,1,3.625654,1.288034686
1996,4,30,19,361,1,3.62566,1.288036341
1996,6,33,20,400,1,3.625681,1.288042133
2003,8,24,9,81,1,3.626762,1.288340239
1997,16,33,10,100,0,3.627363,1.288505938
2004,12,36,17,289,0,3.627845,1.288638808
1996,14,26,5,25,0,3.627856,1.28864184
1997,6,26,13,169,0,3.628506,1.288820993
1997,1,48,40,1600,0,3.62859,1.288844143
2000,11,21,3,9,0,3.629007,1.288959057
2003,8,30,15,225,0,3.629274,1.289032628
2002,17,42,18,324,0,3.631048,1.289521312
1996,8,42,27,729,0,3.631365,1.289608611
1999,12,24,5,25,0,3.632713,1.289979752
2003,10,34,17,289,0,3.632763,1.289993516
1997,3,39,29,841,0,3.633916,1.290310855
2003,8,20,5,25,0,3.634926,1.290588753
1999,11,18,0,0,0,3.636774,1.291097025
2003,9,39,23,529,1,3.637061,1.291175938
2000,14,36,15,225,1,3.63719,1.291211405
2003,11,24,6,36,1,3.637323,1.291247972
2002,12,20,1,1,1,3.637362,1.291258694
1999,3,34,24,576,0,3.638177,1.291482732
1998,12,34,15,225,0,3.638403,1.291544849
1998,6,31,18,324,0,3.638689,1.291623452
1998,4,46,35,1225,0,3.638813,1.29165753
2000,10,20,3,9,1,3.63944,1.291829824
2000,0,37,30,900,0,3.639897,1.291955385
2002,14,24,3,9,0,3.64081,1.292206184
1997,4,49,38,1444,0,3.641702,1.292451155
1996,12,37,18,324,0,3.641995,1.292531608
2003,10,23,6,36,0,3.642911,1.292783087
2003,12,21,2,4,1,3.64339,1.292914567
1998,12,36,17,289,0,3.643566,1.292962872
1998,9,21,5,25,0,3.64379,1.293024349
1999,12,47,28,784,1,3.643975,1.293075119
1997,8,33,18,324,0,3.644516,1.293223572
1996,11,50,32,1024,0,3.644657,1.29326226
1997,10,21,4,16,0,3.645013,1.293359932
1996,8,20,5,25,0,3.645156,1.293399163
2002,14,28,7,49,0,3.646537,1.29377795
2003,7,43,29,841,0,3.646955,1.293892573
1999,8,43,28,784,0,3.646986,1.293901073
2000,11,19,1,1,0,3.647581,1.294064208
2004,9,46,30,900,0,3.649072,1.294472889
2002,2,48,39,1521,1,3.649559,1.294606338
1997,10,27,10,100,0,3.650661,1.294908247
2002,14,21,0,0,0,3.651376,1.295104083
2003,2,20,11,121,1,3.652323,1.295363404
1998,10,31,14,196,0,3.652822,1.29550002
2005,10,35,18,324,0,3.653738,1.295750753
2002,9,44,28,784,1,3.654332,1.295913313
1998,10,37,20,400,0,3.655066,1.29611415
1999,7,29,15,225,0,3.655782,1.296310024
1997,10,38,21,441,0,3.655935,1.296351874
1996,6,48,35,1225,0,3.656431,1.296487535
1999,11,29,11,121,0,3.656725,1.296567938
1999,8,20,5,25,0,3.657443,1.296764269
1999,7,40,26,676,0,3.657619,1.296812389
1996,7,25,11,121,0,3.657927,1.296896594
1998,4,40,29,841,1,3.657939,1.296899874
2003,10,23,6,36,1,3.658099,1.296943614
1999,6,31,18,324,0,3.658655,1.297095594
1996,9,27,11,121,0,3.658683,1.297103247
1997,11,36,18,324,0,3.65885,1.29714889
1997,4,43,32,1024,0,3.65897,1.297181687
1996,11,35,17,289,0,3.659286,1.297268046
1997,13,27,7,49,0,3.660108,1.297492655
2005,10,48,31,961,0,3.660203,1.29751861
1997,9,28,12,144,0,3.66034,1.297556039
1996,14,22,1,1,0,3.662566,1.298163995
2004,10,31,14,196,1,3.664299,1.298637048
2005,19,27,1,1,1,3.664349,1.298650693
1996,9,26,10,100,0,3.664649,1.29873256
1996,5,25,13,169,0,3.665192,1.298880721
1998,9,26,10,100,1,3.665569,1.298983576
1997,13,21,1,1,0,3.666044,1.299113152
2003,7,25,11,121,1,3.667015,1.29937798
1997,12,37,18,324,0,3.667409,1.299485418
1997,11,19,1,1,1,3.668485,1.29977877
1998,12,22,3,9,0,3.668662,1.299827018
1997,9,49,33,1089,1,3.669037,1.29992923
1999,9,20,4,16,0,3.669839,1.300147792
1998,11,37,19,361,0,3.670057,1.300207193
2000,9,25,9,81,1,3.670328,1.300281031
1997,16,28,5,25,1,3.670836,1.300419429
2003,13,19,-1,1,0,3.67123,1.300526756
1999,7,39,25,625,0,3.672,1.300736473
1997,10,31,14,196,0,3.67235,1.300831784
1996,15,30,8,64,1,3.672585,1.300895774
2002,8,46,31,961,0,3.673059,1.30102483
2000,12,47,28,784,1,3.67372,1.301204773
1997,11,31,13,169,0,3.673736,1.301209128
1997,12,26,7,49,0,3.674271,1.301354746
2000,11,41,23,529,0,3.674695,1.301470136
1999,8,19,4,16,0,3.675246,1.301620069
1997,1,50,42,1764,0,3.675391,1.301659522
1998,9,42,26,676,1,3.675741,1.301754745
1998,15,19,-3,9,0,3.675807,1.3017727
2002,7,47,33,1089,1,3.676071,1.301844519
1996,10,31,14,196,0,3.676492,1.301959037
2000,0,38,31,961,0,3.67674,1.30202649
1999,7,33,19,361,0,3.677405,1.30220734
2004,4,41,30,900,0,3.678171,1.302415618
1999,11,41,23,529,0,3.6784,1.302477875
2000,10,19,2,4,0,3.678523,1.302511313
1996,12,34,15,225,0,3.678838,1.302596941
1996,3,46,36,1296,0,3.678862,1.302603465
1997,10,29,12,144,0,3.679302,1.30272306
2005,6,45,32,1024,0,3.679883,1.302880958
1998,8,42,27,729,0,3.680137,1.30294998
2002,7,26,12,144,1,3.680909,1.303159733
1999,2,43,34,1156,0,3.683064,1.303745014
2000,10,22,5,25,0,3.684208,1.304055577
2000,13,35,15,225,0,3.684561,1.304151387
2000,15,25,3,9,0,3.684675,1.304182326
1999,9,44,28,784,0,3.684775,1.304209465
2001,16,21,-2,4,0,3.684949,1.304256686
1997,6,34,21,441,0,3.686072,1.304561392
2003,10,18,1,1,0,3.687355,1.304909399
1998,13,31,11,121,0,3.687522,1.304954688
1998,6,19,6,36,0,3.687944,1.305069121
2000,10,40,23,529,0,3.688027,1.305091627
1999,7,37,23,529,0,3.688404,1.305193844
1996,3,50,40,1600,0,3.689076,1.30537602
2000,16,23,0,0,0,3.689827,1.305579573
2003,7,31,17,289,1,3.690008,1.305628626
2001,15,42,20,400,1,3.690465,1.305752466
1996,11,40,22,484,0,3.691087,1.305920995
1998,8,32,17,289,0,3.69148,1.306027462
2004,10,18,1,1,0,3.691813,1.306117665
2003,13,20,0,0,1,3.69249,1.306301027
1999,8,38,23,529,0,3.69315,1.306479752
1998,8,25,10,100,0,3.694061,1.306726395
1997,8,41,26,676,0,3.69423,1.306772143
1999,7,34,20,400,0,3.695186,1.307030891
1999,12,21,2,4,0,3.69614,1.307289032
2001,8,34,19,361,1,3.696699,1.307440259
1998,8,35,20,400,0,3.696911,1.307497606
2003,8,35,20,400,1,3.698111,1.307822149
2004,7,31,17,289,0,3.698215,1.307850271
1996,9,23,7,49,0,3.698509,1.307929765
1999,8,19,4,16,0,3.698695,1.307980055
2002,2,45,36,1296,1,3.699886,1.308302008
2003,5,19,7,49,0,3.699933,1.308314711
2005,7,27,13,169,1,3.699993,1.308330928
1997,0,42,35,1225,0,3.7,1.30833282
1999,4,30,19,361,0,3.700075,1.30835309
1998,4,41,30,900,0,3.701006,1.308604675
1999,14,43,22,484,0,3.701309,1.308686541
2002,15,23,1,1,0,3.702021,1.308878887
1996,9,36,20,400,0,3.702273,1.308946955
1996,10,20,3,9,0,3.702555,1.309023122
1996,5,39,27,729,0,3.702697,1.309061473
1999,8,21,6,36,0,3.704041,1.309424386
2000,6,38,25,625,0,3.704179,1.309461642
2001,10,37,20,400,1,3.70454,1.309559094
1998,6,49,36,1296,0,3.70465,1.309588787
2004,14,39,18,324,0,3.704744,1.309614161
2000,11,23,5,25,0,3.705484,1.309813884
2004,9,38,22,484,0,3.705503,1.309819012
1999,7,41,27,729,0,3.706588,1.310111777
1998,11,38,20,400,0,3.707243,1.310288474
2005,6,41,28,784,0,3.707355,1.310318684
2000,8,43,28,784,1,3.707411,1.310333789
2000,4,35,24,576,0,3.708036,1.310502356
1996,9,50,34,1156,0,3.708323,1.310579753
2003,12,34,15,225,0,3.709043,1.310773892
1996,6,47,34,1156,0,3.709336,1.310852885
1997,9,19,3,9,0,3.709579,1.310918393
2000,4,49,38,1444,0,3.710041,1.311042928
1999,0,49,42,1764,0,3.710526,1.311173646
1998,11,26,8,64,0,3.710612,1.311196823
1996,8,20,5,25,0,3.710872,1.311266889
1997,5,40,28,784,0,3.711265,1.311372789
1999,10,22,5,25,0,3.71134,1.311392997
2000,14,35,14,196,0,3.711354,1.31139677
2002,8,19,4,16,0,3.711429,1.311416978
2001,5,19,7,49,0,3.711601,1.31146332
2004,9,18,2,4,0,3.711962,1.311560578
2004,13,29,9,81,0,3.71285,1.311799776
2004,13,28,8,64,1,3.713224,1.311900502
2000,12,18,-1,1,0,3.713306,1.311922585
1997,10,33,16,256,1,3.714229,1.31217112
1999,8,18,3,9,0,3.71532,1.312464812
1998,11,37,19,361,0,3.715362,1.312476116
2000,11,36,18,324,0,3.715743,1.312578658
1997,13,39,19,361,0,3.716279,1.312722899
1996,12,20,1,1,0,3.71632,1.312733931
1999,9,31,15,225,1,3.717041,1.312927922
2000,2,47,38,1444,0,3.717087,1.312940297
2001,11,26,8,64,0,3.718151,1.313226502
2003,13,23,3,9,1,3.718402,1.313294006
1997,13,24,4,16,0,3.719009,1.313457235
1999,1,47,39,1521,0,3.721828,1.314214945
2003,7,18,4,16,0,3.722992,1.314527646
1996,14,22,1,1,1,3.723599,1.314690674
1998,6,22,9,81,0,3.724504,1.314933689
1996,7,46,32,1024,0,3.724507,1.314934494
2000,12,43,24,576,1,3.724633,1.314968323
1997,13,45,25,625,1,3.724667,1.314977452
1996,17,47,23,529,0,3.724786,1.315009401
1999,9,23,7,49,0,3.725416,1.315178523
2004,6,19,6,36,1,3.726369,1.315434301
1997,8,33,18,324,0,3.727388,1.31570772
1999,11,35,17,289,0,3.727501,1.315738036
1999,10,36,19,361,0,3.728052,1.315885845
2001,8,25,10,100,1,3.730409,1.316517879
2003,14,24,3,9,0,3.732726,1.317138798
2002,13,19,-1,1,1,3.733107,1.317240863
1997,10,35,18,324,0,3.733144,1.317250774
2003,4,30,19,361,1,3.733167,1.317256935
1999,13,33,13,169,0,3.733371,1.317311579
1998,16,26,3,9,1,3.733408,1.317321489
1997,10,35,18,324,0,3.734738,1.317677669
2003,10,19,2,4,0,3.735711,1.317938162
2000,11,40,22,484,0,3.736163,1.318059149
1999,7,26,12,144,0,3.736613,1.318179586
1997,8,21,6,36,0,3.737112,1.318313121
2005,7,20,6,36,0,3.73814,1.318588162
1998,8,35,20,400,0,3.738804,1.318765774
2001,5,47,35,1225,0,3.738931,1.318799742
1998,12,44,25,625,1,3.739443,1.31893667
1999,6,28,15,225,0,3.739909,1.31906128
2003,11,28,10,100,0,3.739969,1.319077323
2003,15,28,6,36,0,3.740126,1.319119301
1996,6,39,26,676,0,3.740309,1.319168228
2001,5,37,25,625,0,3.740592,1.319243888
1999,13,36,16,256,0,3.740603,1.319246828
1998,14,42,21,441,0,3.741277,1.319426997
2004,15,23,1,1,0,3.741378,1.319453993
1999,13,20,0,0,0,3.741709,1.319542459
1996,14,32,11,121,0,3.741996,1.319619159
1997,13,21,1,1,0,3.742548,1.319766663
1999,3,35,25,625,0,3.742699,1.319807009
2003,3,41,31,961,0,3.742763,1.319824109
1997,7,47,33,1089,0,3.742919,1.319865788
2003,13,19,-1,1,0,3.743737,1.32008431
1999,11,38,20,400,1,3.743855,1.320115829
2002,9,43,27,729,1,3.743905,1.320129184
1996,5,24,12,144,1,3.744371,1.320253646
2002,6,33,20,400,1,3.744408,1.320263527
2004,13,22,2,4,1,3.744727,1.320348717
2001,13,28,8,64,1,3.744984,1.320417345
1997,3,48,38,1444,0,3.745764,1.320625602
2000,0,47,40,1600,0,3.745795,1.320633877
2000,6,50,37,1369,0,3.745927,1.320669116
1997,8,48,33,1089,0,3.746151,1.320728913
2005,17,42,18,324,0,3.747236,1.321018502
2002,12,32,13,169,0,3.747945,1.32120769
2002,11,20,2,4,1,3.748826,1.321442724
2001,14,38,17,289,0,3.749009,1.321491538
1996,11,25,7,49,1,3.749261,1.321558754
1998,11,23,5,25,0,3.749471,1.321614763
2000,9,30,14,196,0,3.749718,1.321680637
2003,14,24,3,9,1,3.750175,1.321802506
2003,11,34,16,256,0,3.750862,1.32198568
2003,7,25,11,121,0,3.751111,1.322052063
1997,7,23,9,81,0,3.751436,1.3221387
1996,10,18,1,1,0,3.752153,1.322329809
