year,educ,age,exp,exp_sq,non_white,y,lny
1996,11,28,10,100,0,0.2133611,-1.544769244
1996,9,18,2,4,0,0.2137903,-1.542759651
2000,11,22,4,16,1,0.2156973,-1.533879243
1997,6,19,6,36,0,0.2162098,-1.531506046
2005,14,22,1,1,1,0.2167191,-1.529153234
2002,9,31,15,225,1,0.2185791,-1.520607316
2001,10,20,3,9,0,0.2190179,-1.518601817
1999,13,29,9,81,1,0.2191753,-1.517883413
2002,7,21,7,49,0,0.2227545,-1.501685011
2001,11,19,1,1,1,0.2232406,-1.499505165
2003,8,35,20,400,0,0.2246666,-1.493137753
1999,14,35,14,196,0,0.2311108,-1.46485803
1997,8,25,10,100,0,0.2322072,-1.460125202
2001,15,23,1,1,1,0.2324682,-1.459001838
1998,7,32,18,324,0,0.2330102,-1.45667305
1996,11,21,3,9,1,0.2351107,-1.447698812
2003,9,26,10,100,0,0.2377376,-1.436587735
1998,11,27,9,81,1,0.2400942,-1.426723933
1998,8,29,14,196,0,0.2443537,-1.409138513
1998,9,19,3,9,0,0.2445679,-1.408262299
1997,9,33,17,289,0,0.2456461,-1.403863397
1997,12,28,9,81,0,0.2493798,-1.388778243
1997,10,18,1,1,0,0.2532962,-1.373195724
2002,14,27,6,36,0,0.2533893,-1.372828238
1998,12,18,-1,1,1,0.2536999,-1.371603207
1998,9,18,2,4,0,0.257444,-1.356953058
2000,12,18,-1,1,0,0.2583988,-1.353251151
2002,11,37,19,361,1,0.2598593,-1.347614948
2004,10,37,20,400,1,0.2627588,-1.336518778
1997,6,20,7,49,0,0.2638061,-1.332540915
1997,11,31,13,169,0,0.2659892,-1.324299573
1997,12,26,7,49,0,0.2668709,-1.320990258
1997,4,41,30,900,0,0.2673426,-1.319224297
1999,16,23,0,0,0,0.2684669,-1.31502765
2001,7,29,15,225,0,0.2717054,-1.303036888
1998,12,19,0,0,0,0.2735448,-1.296289868
2002,8,18,3,9,0,0.2749357,-1.291218027
1999,12,23,4,16,0,0.2751085,-1.290589714
1996,9,19,3,9,0,0.2763955,-1.285922468
1998,4,27,16,256,0,0.2767382,-1.284683346
1998,6,37,24,576,0,0.2773955,-1.282310993
1996,15,21,-1,1,0,0.2777209,-1.281138626
1996,11,29,11,121,0,0.2791,-1.276185138
2001,14,22,1,1,0,0.2812645,-1.268459771
1999,18,23,-2,4,0,0.2814934,-1.267646278
1998,2,24,15,225,0,0.2823665,-1.264549406
2000,10,31,14,196,0,0.2840675,-1.258543393
2004,13,27,7,49,0,0.2844375,-1.257241733
1999,18,26,1,1,0,0.2913431,-1.233253669
2004,4,42,31,961,0,0.2919678,-1.231111757
2001,14,30,9,81,0,0.2929964,-1.227594957
1999,6,20,7,49,0,0.2995435,-1.20549563
1996,6,18,5,25,0,0.3014138,-1.199271208
2003,14,29,8,64,1,0.3040392,-1.190598639
2003,14,19,-2,4,1,0.3044479,-1.189255307
1997,11,21,3,9,0,0.3059372,-1.184375427
1998,11,42,24,576,1,0.3082085,-1.176978777
2003,15,19,-3,9,0,0.3115217,-1.16628628
2000,13,24,4,16,0,0.311545,-1.166211489
2004,8,18,3,9,1,0.3117796,-1.165458751
2005,14,45,24,576,0,0.3126421,-1.162696193
2002,13,45,25,625,1,0.3144907,-1.156800774
2000,12,50,31,961,0,0.3167923,-1.149508925
1999,11,19,1,1,0,0.3181311,-1.145291717
1999,13,50,30,900,0,0.3183777,-1.144516865
2003,16,24,1,1,0,0.3256033,-1.12207551
1997,11,37,19,361,1,0.3265895,-1.119051248
1999,7,46,32,1024,0,0.3283115,-1.113792426
1998,14,30,9,81,0,0.3301436,-1.108227568
1996,8,34,19,361,0,0.3313606,-1.104548071
1998,5,34,22,484,0,0.3320591,-1.102442314
2001,14,18,-3,9,0,0.3325931,-1.100835458
1999,11,19,1,1,0,0.3326347,-1.100710388
2000,13,20,0,0,1,0.3332909,-1.098739597
1998,11,36,18,324,0,0.3335782,-1.097877958
2002,18,34,9,81,0,0.3347249,-1.094446279
2001,10,22,5,25,1,0.3357338,-1.091436695
2004,1,23,15,225,1,0.3359412,-1.090819134
2005,10,24,7,49,0,0.3381921,-1.084141202
1998,15,22,0,0,0,0.3393447,-1.080738874
2004,5,48,36,1296,1,0.3421978,-1.072366347
2003,10,47,30,900,1,0.342613,-1.071153749
1998,7,33,19,361,0,0.3427451,-1.070768257
1999,13,24,4,16,0,0.3451477,-1.063782838
2003,11,25,7,49,1,0.3465798,-1.059642184
1996,7,18,4,16,0,0.3483937,-1.054422117
2003,14,18,-3,9,0,0.348517,-1.054068269
1999,11,19,1,1,0,0.3508299,-1.047453788
2000,13,31,11,121,0,0.3515461,-1.045414424
2003,11,24,6,36,0,0.3532021,-1.040714865
2002,3,32,22,484,1,0.353679,-1.039365557
2002,7,22,8,64,0,0.3546811,-1.036536203
2003,16,32,9,81,0,0.3547927,-1.036221604
1999,15,21,-1,1,1,0.3548167,-1.036153961
1999,14,23,2,4,0,0.355369,-1.034598593
2000,8,50,35,1225,1,0.3553832,-1.034558635
2003,13,19,-1,1,1,0.3571005,-1.029738024
2004,9,20,4,16,1,0.3574103,-1.028870857
1996,7,44,30,900,0,0.3586223,-1.025485533
2000,13,19,-1,1,0,0.3595648,-1.022860868
1998,14,24,3,9,0,0.3604799,-1.02031908
2003,16,39,16,256,0,0.3607683,-1.019519355
1997,4,21,10,100,0,0.3610747,-1.018670417
2001,11,50,32,1024,0,0.3631,-1.013077001
2004,17,30,6,36,0,0.3639808,-1.01065416
2005,13,37,17,289,0,0.3642398,-1.009942837
2004,9,23,7,49,0,0.3696135,-0.995297414
2004,14,21,0,0,0,0.3723772,-0.98784796
