"year","educ","age","exp","income","non_white","exp_sq"
2004,9,35,19,8.514595,0,361
2005,11,36,18,9.775746,0,324
1996,13,36,16,7.839469,0,256
1997,7,37,23,8.173001,0,529
1998,9,38,22,8.126794,0,484
1999,10,39,22,9.006351,0,484
2000,9,40,24,10.37111,0,576
2002,7,42,28,9.542697,0,784
2003,11,43,25,12.36955,0,625
2004,9,44,28,11.36925,0,784
1996,10,33,16,4.967643,0,256
1997,9,34,18,5.167837,0,324
1998,8,35,20,4.714087,0,400
1999,11,36,18,4.63412,0,324
2000,9,37,21,6.083703,0,441
2002,15,39,17,6.474334,0,289
2003,13,40,20,7.539178,0,400
2004,13,41,21,7.559893,0,441
2005,11,42,24,7.694198,0,576
1996,14,37,16,19.13321,0,256
1997,18,38,13,15.60995,0,169
1998,12,39,20,22.07855,0,400
1999,17,40,16,24.35564,0,256
2000,18,41,16,27.76826,0,256
2002,12,43,24,43.34019,0,576
2003,17,44,20,,0,400
2004,12,45,26,29.72391,0,676
2005,18,46,21,32.4732,0,441
1996,13,37,17,11.34047,0,289
1997,17,38,14,9.988264,0,196
2002,13,43,23,5.133704,0,529
2003,17,44,20,6.435868,0,400
2004,16,45,22,8.693506,0,484
2005,12,46,27,8.513673,0,729
1996,18,32,7,10.88091,0,49
1997,15,33,11,10.24845,0,121
2000,11,36,18,3.715743,0,324
2002,16,38,15,20.56809,0,225
2003,14,39,18,7.875268,0,324
2004,13,40,20,8.242472,0,400
2005,15,41,19,9.59829,0,361
1996,10,27,10,4.76607,0,100
1997,13,28,8,5.426022,0,64
1999,8,30,15,4.597827,0,225
2000,10,31,14,23.22914,0,196
2002,10,33,16,9.307812,0,256
2003,8,34,19,8.116012,0,361
2004,11,35,17,10.07361,0,289
2005,7,36,22,9.727859,0,484
2004,11,49,31,10.36549,0,961
2005,12,49,30,10.95574,0,900
2002,9,21,5,3.991452,0,25
2003,7,22,8,4.752127,0,64
1996,13,41,21,5.14644,0,441
1997,8,42,27,6.003537,0,729
1998,12,43,24,5.790663,0,576
1999,11,44,26,5.219294,0,676
2000,10,45,28,8.158834,0,784
2002,9,47,31,9.19819,0,961
2003,12,48,29,8.963552,0,841
2004,9,49,33,9.26027,0,1089
2005,12,50,31,10.17637,0,961
1996,10,38,21,19.05313,1,441
1997,11,39,21,21.54165,1,441
1998,14,40,19,22.00546,1,361
1999,15,41,19,20.94051,1,361
2000,16,42,19,18.57112,1,361
2002,12,44,25,25.6733,1,625
2003,14,45,24,21.0354,1,576
2004,14,46,25,31.73899,1,625
2005,14,47,26,24.2686,1,676
1999,5,18,6,4.14599,0,36
2000,10,20,3,4.926548,0,9
2002,5,21,9,4.708202,0,81
2003,4,22,11,5.723902,0,121
2004,5,24,12,5.811932,0,144
2005,8,25,10,5.458329,0,100
2004,11,20,2,2.10325,0,4
1996,13,23,3,5.371449,0,9
1997,11,24,6,7.344292,0,36
1998,11,25,7,8.664057,0,49
1999,10,26,9,8.96,0,81
2000,11,27,9,11.27096,0,81
2002,11,29,11,15.238,0,121
2003,10,30,13,13.09721,0,169
2004,15,31,9,15.2023,0,81
2005,10,32,15,17.10848,0,225
1996,10,20,3,3.702555,0,9
1997,12,21,2,4.357001,0,4
1998,7,22,8,4.587947,0,64
1999,10,23,6,5.249685,0,36
2000,10,24,7,5.200508,0,49
2002,12,26,7,6.200464,0,49
2003,7,27,13,7.214275,0,169
2004,11,28,10,8.358262,0,100
2005,9,29,13,10.5618,0,169
1996,15,47,25,12.38648,0,625
1997,13,48,28,13.50708,0,784
1998,10,49,32,13.28046,0,1024
1996,16,28,5,6.162719,0,25
1997,11,29,11,6.369205,0,121
1998,11,30,12,6.094279,0,144
1999,15,31,9,7.978699,0,81
2000,13,32,12,8.900916,0,144
2002,12,34,15,9.486533,0,225
2003,11,34,16,10.2313,0,256
2004,11,36,18,10.41098,0,324
1996,15,30,8,3.672585,1,64
1997,9,31,15,5.100945,1,225
1998,15,32,10,4.096224,1,100
1999,11,33,15,5.991484,1,225
2000,11,34,16,8.003017,1,256
2002,12,36,17,7.76655,1,289
2003,11,37,19,7.704177,1,361
2004,12,38,19,9.415175,1,361
2005,8,18,3,3.1299,0,9
1996,13,34,14,6.352661,0,196
1997,14,35,14,4.515112,0,196
1998,16,36,13,5.358606,0,169
1999,17,37,13,5.144108,0,169
2000,14,38,17,5.443636,0,289
2002,14,40,19,6.730234,0,361
2003,13,41,21,5.928995,0,441
2004,17,42,18,8.442427,0,324
2005,17,43,19,7.775207,0,361
1996,12,31,12,2.342305,0,144
1997,14,32,11,3.571686,0,121
1998,10,34,17,4.348691,0,289
1999,12,34,15,5.46258,0,225
2000,13,35,15,5.638011,0,225
2002,12,37,18,6.175941,0,324
2003,12,38,19,5.19065,0,361
2004,10,39,22,6.065187,0,484
2005,15,40,18,7.50276,0,324
1996,5,48,36,6.541233,0,1296
1997,3,49,39,4.297192,0,1521
1998,6,50,37,4.661072,0,1369
1996,8,34,19,.3313606,0,361
1997,6,35,22,0,0,484
1998,6,36,23,2.674635,0,529
1999,10,37,20,3.941476,0,400
2000,11,38,20,5.255165,0,400
2002,8,40,25,4.760893,0,625
2003,8,41,26,7.744812,0,676
2004,7,42,28,3.861729,0,784
2005,12,43,24,8.536569,0,576
1997,12,18,-1,4.273349,0,1
1998,12,19,0,4.823777,0,0
1999,12,20,1,6.057107,0,1
2000,9,21,5,6.51491,0,25
2002,7,23,9,7.745128,0,81
2003,10,24,7,7.541804,0,49
2004,13,25,5,7.503092,0,25
2005,11,26,8,9.216226,0,64
2002,16,22,-1,.1374351,0,1
2003,17,23,-1,9.356771,0,1
2004,17,24,0,9.432165,0,0
2005,16,25,2,12.08682,0,4
1996,17,40,16,6.215532,0,256
1997,14,41,20,11.06101,0,400
1998,18,42,17,10.06682,0,289
1999,14,43,22,7.940168,0,484
2000,15,44,22,8.139338,0,484
2002,15,46,24,17.04317,0,576
2003,16,47,24,16.47292,0,576
2004,13,48,28,16.93556,0,784
2005,15,49,27,7.484642,0,729
1996,16,32,9,3.178679,0,81
1997,12,33,14,6.911779,0,196
1998,13,34,14,7.410627,0,196
1999,13,35,15,7.697435,0,225
2000,14,36,15,8.802781,0,225
2002,11,38,20,11.93652,0,400
2004,14,40,19,13.22061,0,361
2005,13,41,21,13.01849,0,441
2003,10,19,2,1.667851,0,4
1997,16,25,2,1.428085,0,4
1999,12,27,8,6.363753,0,64
2000,9,28,12,1.254952,0,144
2002,14,30,9,8.454778,0,81
2003,14,31,10,60.30611,0,100
2004,15,32,10,4.111608,0,100
2005,11,33,15,6.071419,0,225
1996,3,39,29,5.265676,0,841
1997,5,40,28,5.331562,0,784
1998,4,41,30,3.701006,0,900
1999,3,42,32,4.048367,0,1024
2000,5,43,31,6.085291,0,961
2002,2,45,36,5.914624,0,1296
2003,0,46,39,5.947763,0,1521
2004,0,47,40,5.860277,0,1600
2005,1,48,40,6.130542,0,1600
1996,5,39,27,3.702697,0,729
1997,0,40,33,3.904005,0,1089
1998,3,41,31,7.837778,0,961
1999,6,42,29,5.004409,0,841
2000,5,43,31,4.760232,0,961
2002,1,45,37,4.110624,0,1369
2003,6,46,33,4.635925,0,1089
2004,2,47,38,5.475487,0,1444
2005,4,48,37,6.166711,0,1369
2002,13,19,-1,8.571465,0,1
2005,9,22,6,7.338276,0,36
1996,13,37,17,1.978868,0,289
1998,11,39,21,,0,441
1996,5,38,26,10.12941,0,676
1997,11,38,20,11.50308,0,400
1998,9,40,24,14.4185,0,576
1999,7,40,26,15.11147,0,676
2000,9,42,26,15.70493,0,676
2002,10,43,26,13.74042,0,676
2003,7,45,31,15.29648,0,961
2003,13,19,-1,3.590451,0,1
1996,6,50,37,4.495744,0,1369
1996,16,49,26,9.326088,0,676
1997,14,50,29,12.24,0,841
2002,12,21,2,7.45416,0,4
2003,10,22,5,8.912271,0,25
2004,10,23,6,9.73598,0,36
2005,14,24,3,13.50108,0,9
1996,12,38,19,8.259905,0,361
1997,8,39,24,7.882383,0,576
1998,14,40,19,7.398717,0,361
1999,15,41,19,5.64918,0,361
2000,13,42,22,7.077598,0,484
2002,10,44,27,7.025711,0,729
2003,10,45,28,9.343151,0,784
2004,11,47,29,9.164938,0,841
2005,15,47,25,10.84562,0,625
1996,7,37,23,4.767648,0,529
1997,7,38,24,6.581455,0,576
1998,9,39,23,5.433414,0,529
1999,11,40,22,7.531259,0,484
2000,13,41,21,7.759112,0,441
2002,13,43,23,12.12331,0,529
2003,14,44,23,3.464122,0,529
2004,14,45,24,5.055216,0,576
2005,11,46,28,8.023328,0,784
1999,7,18,4,2.729362,0,16
2000,10,19,2,3.845908,0,4
2002,9,21,5,6.00684,0,25
2003,8,22,7,6.156099,0,49
2005,7,23,9,6.591848,0,81
2003,9,18,2,3.344906,0,4
2004,10,20,3,4.723491,0,9
2005,14,20,-1,7.283559,0,1
2004,14,18,-3,2.073032,0,9
2005,11,19,1,4.042351,0,1
1996,8,30,15,12.33732,0,225
1997,11,31,13,12.9466,0,169
1998,11,32,14,14.14959,0,196
1999,11,33,15,15.57824,0,225
2000,11,34,16,14.68083,0,256
2002,10,36,19,13.51008,0,361
2003,11,37,19,12.54967,0,361
2005,14,39,18,15.73001,0,324
1997,11,31,13,.2659892,0,169
1998,10,32,15,7.517648,0,225
1999,15,33,11,7.773665,0,121
2000,15,34,12,9.039743,0,144
2002,12,36,17,6.545918,0,289
2003,12,37,18,7.186019,0,324
2004,16,38,15,10.59949,0,225
2005,11,39,21,10.49599,0,441
1996,14,48,27,13.38488,0,729
1997,13,50,30,13.52648,0,900
1998,12,50,31,12.14564,0,961
1996,14,47,26,15.21869,0,676
1997,3,42,32,9.225664,0,1024
1998,3,44,34,10.39751,0,1156
1999,8,45,30,7.574474,0,900
2000,4,45,34,9.511738,0,1156
2002,9,48,32,12.51297,0,1024
2003,7,48,34,13.08156,0,1156
1999,6,38,25,8.442424,0,625
2000,5,39,27,3.282552,0,729
2002,6,41,28,2.585123,0,784
2002,11,19,1,5.628572,0,1
2003,8,20,5,5.634161,0,25
2004,11,21,3,5.68805,0,9
2005,10,22,5,6.536134,0,25
1996,12,38,19,3.16323,0,361
1997,9,39,23,4.23475,0,529
1998,11,40,22,5.466011,0,484
1999,10,41,24,5.958218,0,576
2000,7,42,28,5.723797,0,784
2002,8,44,29,7.893414,0,841
2003,8,45,30,9.18984,0,900
2005,13,47,27,5.909642,0,729
1996,2,40,31,4.719191,0,961
1997,2,41,32,5.262105,0,1024
1998,6,42,29,7.858913,0,841
1999,2,43,34,6.083401,0,1156
2000,1,44,36,5.509096,0,1296
2002,6,46,33,6.658305,0,1089
2003,6,47,34,6.827269,0,1156
2004,3,48,38,6.079438,0,1444
2005,2,49,40,5.352448,0,1600
1996,13,44,24,4.097485,0,576
1997,12,45,26,4.435143,0,676
1998,11,46,28,3.833273,0,784
1999,12,47,28,3.065834,0,784
2000,10,48,31,5.028546,0,961
2002,9,50,34,6.812466,0,1156
1996,11,50,32,8.610603,0,1024
1996,16,47,24,17.80473,0,576
1997,14,48,27,21.14977,0,729
1998,14,49,28,16.89901,0,784
1999,11,50,32,25.01269,0,1024
2002,18,28,3,11.10541,0,9
2003,16,29,6,15.7613,0,36
2004,14,30,9,15.3704,0,81
2005,14,31,10,6.346127,0,100
1996,8,19,4,3.759486,0,16
1998,8,21,6,0,0,36
2003,7,26,12,6.091523,0,144
1996,8,31,16,6.185684,0,256
1997,7,32,18,6.633272,0,324
1998,9,33,17,5.776313,0,289
1999,13,34,14,6.46473,0,196
2000,10,35,18,7.751234,0,324
2002,14,37,16,9.850285,0,256
2003,12,38,19,7.974364,0,361
2004,14,39,18,7.91051,0,324
2005,13,40,20,10.08026,0,400
1996,10,24,7,5.261084,0,49
1997,7,25,11,6.582509,0,121
1998,14,26,5,7.115553,0,25
1999,8,27,12,9.198485,0,144
2000,13,28,8,6.812045,0,64
2002,10,30,13,9.48737,0,169
2003,11,31,13,9.43821,0,169
2004,14,32,11,12.09839,0,121
2005,13,33,13,12.35412,0,169
1996,6,43,30,6.675798,0,900
1997,2,44,35,6.613509,0,1225
1998,7,45,31,8.382106,0,961
1999,3,46,36,8.535259,0,1296
2002,7,49,35,7.985698,0,1225
2003,4,50,39,7.974966,0,1521
1996,10,41,24,2.447723,0,576
1997,9,42,26,4.823247,0,676
1998,12,43,24,3.623884,0,576
1999,14,44,23,2.802534,0,529
2000,14,45,24,3.458835,0,576
2002,13,47,27,5.995496,0,729
2003,13,48,28,6.022173,0,784
2004,13,49,29,4.953493,0,841
2005,13,50,30,4.085498,0,900
1998,9,19,3,.2445679,0,9
1999,8,20,5,5.320667,0,25
2000,14,21,0,5.142491,0,0
2002,10,23,6,8.165191,0,36
2003,14,24,3,11.75318,0,9
2004,10,25,8,11.11579,0,64
2005,9,26,10,17.89399,0,100
1996,11,49,31,8.802732,0,961
1997,10,50,33,9.062362,0,1089
1996,9,48,32,5.523446,0,1024
1997,11,49,31,5.603911,0,961
1998,10,50,33,6.525964,0,1089
2004,11,27,9,0,0,81
2005,15,28,6,11.2955,0,36
1996,7,33,19,4.10088,0,361
2003,4,18,7,4.85125,0,49
1996,4,30,19,5.219175,0,361
1997,0,31,24,4.857143,0,576
1998,2,32,23,5.499128,0,529
1999,7,33,19,5.398803,0,361
2000,0,34,27,6.787633,0,729
2002,6,36,23,5.12389,0,529
2003,4,37,26,7.868313,0,676
2004,0,38,31,7.251732,0,961
2005,1,39,31,7.617116,0,961
1996,5,27,15,7.051593,0,225
1997,5,28,16,6.428836,0,256
1998,7,29,15,7.971636,0,225
1999,10,30,13,8.355602,0,169
2000,11,31,13,7.731958,0,169
2002,8,33,18,8.59578,0,324
2003,10,34,17,8.937644,0,289
2005,5,36,24,4.142245,0,576
1996,12,24,5,4.898396,0,25
1997,9,25,9,6.058088,0,81
1998,12,26,7,7.015801,0,49
2000,8,27,12,4.953676,0,144
2000,10,28,11,3.44347,0,121
2002,8,30,15,4.44068,0,225
2003,11,31,13,5.920668,0,169
2004,10,32,15,5.240384,0,225
2005,9,33,17,6.943265,0,289
1996,10,32,15,14.11928,1,225
1997,9,33,17,17.06024,1,289
1998,11,34,16,18.25965,1,256
1999,13,35,15,29.84094,1,225
2000,14,36,15,27.83612,1,225
2003,14,38,17,32.09818,1,289
2003,11,39,21,35.02777,1,441
1996,12,31,12,4.24613,0,144
1997,6,32,19,3.597646,0,361
1998,7,33,19,4.500041,0,361
1999,12,35,16,2.731742,0,256
2000,9,35,19,4.892395,0,361
2003,8,38,23,4.761845,0,529
2003,9,38,22,5.165738,0,484
1996,15,40,18,.7726268,0,324
1997,11,41,23,3.007472,0,529
1998,14,42,21,3.741277,0,441
2000,12,43,24,4.750874,0,576
2001,11,44,26,4.131531,0,676
2004,9,48,32,2.753881,0,1024
2005,15,49,27,9.038625,0,729
2004,10,20,3,0,0,9
1996,5,21,9,3.575152,0,81
1997,10,22,5,4.626151,0,25
1998,4,23,12,4.922042,0,144
2003,15,28,6,5.442885,0,36
1996,13,22,2,4.216589,0,4
1997,12,23,4,7.295516,0,16
1999,16,24,1,5.357032,0,1
1999,16,25,2,4.566973,0,4
2002,13,28,8,7.388355,0,64
2003,9,29,13,4.89153,0,169
2004,16,30,7,11.14083,0,49
2005,14,31,10,14.64488,0,100
1998,13,22,2,0,0,4
1998,14,23,2,5.485574,0,4
2003,12,28,9,15.4192,0,81
1996,13,42,22,12.50145,0,484
1997,13,43,23,12.60741,0,529
1998,9,44,28,10.18948,0,784
1999,11,45,27,,0,729
2000,10,46,29,,0,841
2002,15,48,26,19.0131,0,676
2003,10,49,32,,0,1024
2004,9,50,34,,0,1156
1996,10,41,24,1.179392,0,576
1997,12,42,23,6.578624,0,529
1998,13,43,23,5.198133,0,529
1999,12,44,25,6.391932,0,625
2000,9,45,29,7.61256,0,841
2002,12,47,28,6.447757,0,784
2003,12,48,29,7.89832,0,841
2004,10,49,32,8.109701,0,1024
2005,10,50,33,9.879852,0,1089
2004,10,21,4,4.812687,0,16
1996,10,27,10,2.781871,0,100
1997,7,28,14,4.255577,0,196
1998,9,29,13,4.404071,0,169
1999,11,30,12,5.691333,0,144
2000,13,31,11,5.563727,0,121
2002,9,34,18,8.084122,0,324
2003,14,34,13,6.558621,0,169
2004,15,35,13,9.58669,0,169
2005,12,36,17,15.74803,0,289
1996,10,44,27,8.063799,0,729
1997,12,45,26,8.441119,0,676
1998,15,46,24,2.998419,0,576
1999,14,47,26,7.14308,0,676
2000,10,48,31,5.77999,0,961
2002,12,50,31,11.80016,0,961
1996,16,35,12,8.075994,0,144
1997,11,36,18,8.803541,0,324
1998,15,37,15,10.81298,0,225
1999,10,38,21,10.30304,0,441
2000,14,39,18,10.31295,0,324
2002,13,41,21,8.419804,0,441
2003,9,42,26,7.146323,0,676
2004,10,43,26,,0,676
2005,14,44,23,21.57192,0,529
2004,9,18,2,0,0,4
1996,8,40,25,12.26644,0,625
1997,6,41,28,12.06999,0,784
1998,7,42,28,12.11638,0,784
2000,13,43,23,13.41081,0,529
2000,8,44,29,13.78476,0,841
2002,11,46,28,15.69452,0,784
2003,9,47,31,15.12571,0,961
2004,11,48,30,7.801656,0,900
2005,10,49,32,16.62979,0,1024
1996,12,30,11,6.990038,0,121
1998,14,32,11,6.978333,0,121
2000,11,33,15,7.932554,0,225
2000,14,34,13,9.645525,0,169
2002,11,36,18,7.932442,0,324
2003,10,37,20,8.946561,0,400
2004,13,38,18,9.649794,0,324
2005,12,39,20,10.4705,0,400
1996,13,24,4,4.31918,0,16
1997,11,25,7,4.076207,0,49
1998,10,26,9,7.26301,0,81
1999,12,27,8,9.164713,0,64
2000,14,28,7,8.792287,0,49
2002,11,30,12,11.51631,0,144
2003,11,31,13,11.85593,0,169
2004,10,32,15,11.27597,0,225
2005,13,33,13,12.93181,0,169
1997,14,28,7,9.057316,0,49
1997,17,29,5,7.97213,0,25
1998,17,30,6,13.37438,0,36
1999,13,31,11,16.19376,0,121
2000,13,32,12,16.40205,0,144
2002,18,34,9,23.04899,0,81
2003,12,35,16,22.39074,0,256
2004,19,36,10,14.68902,0,100
2005,17,37,13,26.66361,0,169
1996,6,25,12,.4849085,0,144
1997,4,26,15,3.318152,1,225
2003,2,32,23,6.068004,1,529
2004,7,33,19,5.258819,1,361
2005,2,34,25,5.364368,1,625
1997,15,49,27,6.228917,0,729
1997,15,50,28,6.847476,0,784
1996,13,36,16,6.948586,0,256
1997,11,37,19,7.838172,0,361
1998,16,38,15,8.527602,0,225
1999,12,39,20,8.54177,0,400
2001,10,40,23,6.712875,0,529
2003,14,42,21,4.931451,0,441
2003,12,43,24,10.37203,0,576
2004,10,44,27,11.16286,0,729
2005,15,44,22,12.13557,0,484
1996,14,30,9,5.905097,0,81
1997,14,31,10,6.084503,0,100
1996,11,41,23,7.97751,0,529
1997,10,42,25,7.957506,0,625
1998,14,43,22,8.085333,0,484
1999,13,44,24,9.024927,0,576
2000,11,45,27,9.708959,0,729
2002,9,47,31,.7921968,0,961
2003,9,48,32,10.21753,0,1024
2004,11,49,31,12.13214,0,961
2005,10,50,33,11.93422,0,1089
1997,12,37,18,,0,324
1998,12,38,19,3.314927,0,361
1999,10,39,22,5.101161,0,484
2000,15,40,18,5.86789,0,324
2002,10,42,25,3.616232,0,625
2003,15,43,21,10.4766,0,441
2004,13,44,24,8.176799,0,576
2005,16,45,22,8.987621,0,484
1996,13,44,24,9.982245,0,576
1997,17,45,21,11.2046,0,441
1998,12,46,27,10.16662,0,729
2000,14,47,26,15.91759,0,676
2000,13,48,28,15.42669,0,784
2002,15,50,28,17.97875,0,784
2000,14,21,0,1.096683,0,0
2003,13,23,3,1.300085,0,9
2004,14,23,2,8.797318,0,4
2005,16,22,-1,.4973886,0,1
2003,9,18,2,.9893634,0,4
2004,7,19,5,2.029406,0,25
2005,12,20,1,2.711501,0,1
2005,14,18,-3,5.823513,0,9
1996,8,37,22,4.093837,0,484
1997,12,38,19,4.857028,0,361
1998,11,39,21,5.14921,0,441
2002,9,43,27,6.132756,0,729
2003,11,44,26,6.550587,0,676
2004,11,45,27,6.536515,0,729
2005,9,46,30,6.579542,0,900
1996,16,30,7,11.03787,0,49
1997,10,31,14,9.487015,0,196
1998,9,32,16,9.216598,0,256
1999,13,33,13,7.917645,0,169
2000,15,34,12,8.97311,0,144
2003,13,36,16,9.659697,0,256
2003,11,37,19,10.19517,0,361
2004,15,38,16,14.81673,0,256
2005,13,39,19,14.99573,0,361
1996,10,28,11,9.438673,0,121
1997,15,29,7,11.73253,0,49
1998,10,30,13,12.03611,0,169
1999,13,31,11,9.984365,0,121
2000,8,32,17,10.32572,0,289
2003,9,35,19,14.51193,0,361
2004,11,36,18,25.26302,0,324
2005,10,37,20,15.3222,0,400
1996,10,29,12,5.328529,0,144
1997,6,30,17,5.912022,0,289
1999,4,32,21,3.021692,0,441
2003,5,36,24,0,0,576
2004,7,37,23,6.086102,0,529
2005,7,38,24,6.480886,0,576
1996,5,42,30,4.403509,0,900
1997,3,43,33,3.982887,0,1089
1998,6,44,31,4.30803,0,961
1999,2,45,36,4.16872,0,1296
2000,4,46,35,4.452147,0,1225
2002,5,48,36,4.974586,0,1296
2003,3,49,39,4.843283,0,1521
2004,2,50,41,5.20383,0,1681
1996,11,23,5,5.146984,0,25
1997,12,24,5,6.624005,0,25
1998,9,25,9,7.689816,0,81
1999,9,26,10,7.406458,0,100
2000,10,27,10,8.35736,0,100
2003,6,29,16,7.290968,0,256
2003,10,30,13,8.45557,0,169
2004,12,31,12,3.265468,0,144
2005,9,32,16,6.609958,0,256
2003,4,19,8,4.480564,0,64
2003,10,19,2,6.605244,0,4
2004,9,20,4,3.594795,0,16
2005,7,21,7,5.578203,0,49
1996,14,22,1,,0,1
1997,14,23,2,,0,4
2000,16,26,3,.6747403,0,9
2003,16,29,6,,0,36
1996,8,35,20,2.98169,0,400
1997,11,36,18,5.38514,0,324
1998,10,37,20,10.84001,0,400
1999,7,38,24,11.20715,0,576
2000,8,39,24,11.68836,0,576
2003,8,41,26,11.51373,0,676
2004,11,43,25,7.557465,0,625
2004,13,43,23,10.46088,0,529
2005,7,44,30,10.33822,0,900
2003,10,34,17,12.66313,0,289
2003,11,35,17,12.50795,0,289
2004,6,36,23,8.957128,0,529
2005,6,37,24,6.96815,0,576
1996,4,49,38,6.015806,0,1444
1997,1,50,42,5.820257,0,1764
1996,10,18,1,1.804737,0,1
1997,9,19,3,2.386749,0,9
2000,14,22,1,1.25335,0,1
1996,5,36,24,9.098945,0,576
1997,9,37,21,9.694014,0,441
1998,8,38,23,8.481095,0,529
1999,8,39,24,7.009793,0,576
2000,11,40,22,8.188631,0,484
1996,8,36,21,6.305019,0,441
1997,9,37,21,7.8727,0,441
1998,12,38,19,9.331418,0,361
2003,14,43,22,0,0,484
2005,12,45,26,2.097915,0,676
1999,8,18,3,.5606461,0,9
2000,9,19,3,1.330987,0,9
2003,5,22,10,4.290124,0,100
2004,6,23,10,4.798701,0,100
2005,6,24,11,8.480449,0,121
2003,6,18,5,5.09717,0,25
2003,6,19,6,1.813216,0,36
2004,11,20,2,7.483626,0,4
2005,10,21,4,7.3356,0,16
1998,6,46,33,,0,1089
1996,1,40,32,4.443823,0,1024
1997,6,41,28,5.139275,0,784
1998,3,42,32,4.408888,0,1024
1999,6,43,30,3.811204,0,900
2000,2,44,35,2.081569,0,1225
2002,3,46,36,4.187744,0,1296
2003,4,47,36,4.312979,0,1296
2000,16,23,0,3.689827,0,0
2003,18,25,0,8.283917,0,0
2003,16,26,3,10.03166,0,9
1997,13,18,-2,5.569582,0,4
1998,9,19,3,2.025916,0,9
1999,13,20,0,5.265526,0,0
2000,11,21,3,6.731819,0,9
2003,12,24,5,5.99052,0,25
2003,14,25,4,4.754807,0,16
2003,8,20,5,3.634926,0,25
1996,6,36,23,3.763783,0,529
1997,9,37,21,3.935434,0,441
1998,11,38,20,1.976578,0,400
1999,11,39,21,3.139581,0,441
2000,8,40,25,4.738362,0,625
2002,9,42,26,2.138916,0,676
2003,14,43,22,3.574643,0,484
2004,9,44,28,7.138801,0,784
2005,10,45,28,7.021726,0,784
1996,10,35,18,5.647632,0,324
1997,13,36,16,5.874095,0,256
1998,7,37,23,6.228636,0,529
1999,11,38,20,7.488256,0,400
2000,13,39,19,5.970165,0,361
2002,13,41,21,9.605481,0,441
2003,7,42,28,9.626947,0,784
2004,8,43,28,10.40979,0,784
2005,8,44,29,10.41194,0,841
1997,6,30,17,1.595039,0,289
1998,11,31,13,4.052609,0,169
2003,14,36,15,6.701828,0,225
1996,1,47,39,,0,1521
1997,2,48,39,6.281872,0,1521
1998,6,49,36,6.857165,0,1296
1999,4,50,39,6.666979,0,1521
1996,13,38,18,9.191242,0,324
1997,11,39,21,10.2724,0,441
1998,12,40,21,10.25504,0,441
1999,11,41,23,9.903481,0,529
2000,7,42,28,10.84492,0,784
2002,12,44,25,11.10522,0,625
2003,7,45,31,10.54837,0,961
1996,12,32,13,7.593155,0,169
1997,8,33,18,7.594704,0,324
1998,8,34,19,7.35954,0,361
1999,12,35,16,7.499857,0,256
2000,8,36,21,8.504158,0,441
2002,10,39,22,9.040528,0,484
2003,13,39,19,9.517661,0,361
2004,10,40,23,12.20539,0,529
2005,15,41,19,12.36077,0,361
1999,13,34,14,1.998995,0,196
2000,8,35,20,8.116271,0,400
2002,15,37,15,13.31007,0,225
2003,13,38,18,9.005953,0,324
2004,15,39,17,12.10785,0,289
2005,13,40,20,13.73034,0,400
1996,11,49,31,52.37185,0,961
1997,13,50,30,7.465573,0,900
1996,10,48,31,17.56667,0,961
1997,14,49,28,17.62875,0,784
1998,13,50,30,20.09802,0,900
2002,18,22,-3,.6082792,0,9
2003,14,23,2,7.830653,0,4
2005,13,25,5,12.59264,0,25
2005,14,25,4,21.59781,0,16
2002,9,20,4,.8127539,0,16
2004,16,22,-1,1.049824,0,1
2005,17,23,-1,13.26326,0,1
1996,12,49,30,13.54001,0,900
1997,12,50,31,9.182828,0,961
1996,7,37,23,6.686601,0,529
1997,7,38,24,7.074572,0,576
1998,11,39,21,8.119544,0,441
1999,10,40,23,6.37185,0,529
2000,12,41,22,6.948349,0,484
2002,8,43,28,9.057938,0,784
2003,6,44,31,8.82261,0,961
2004,9,45,29,9.106618,0,841
2005,9,46,30,11.2172,0,900
2002,9,19,3,4.681756,0,9
2003,8,20,5,6.129184,0,25
2004,14,21,0,8.073159,0,0
2005,12,22,3,7.109046,0,9
2003,9,18,2,4.663413,0,4
2004,13,19,-1,7.617291,0,1
2005,10,20,3,7.561467,0,9
1996,6,28,15,3.597553,1,225
1997,11,29,11,2.528713,1,121
1998,9,30,14,1.968374,1,196
1999,9,31,15,3.717041,1,225
2000,8,32,17,5.50559,1,289
2002,10,34,17,5.623028,1,289
2003,10,35,18,5.950146,1,324
2005,10,37,20,10.54963,1,400
2004,8,18,3,2.92957,0,9
1996,12,41,22,6.296782,0,484
1997,14,42,21,,0,441
1998,12,43,24,0,0,576
2000,17,45,21,.912187,0,441
2002,16,47,24,10.64706,0,576
2003,18,48,23,11.08193,0,529
2004,15,49,27,9.972975,0,729
2005,16,50,27,14.07021,0,729
2002,18,41,16,5.76528,0,256
2003,17,42,18,7.347074,0,324
2004,17,43,19,12.8998,0,361
2005,12,44,25,8.860553,0,625
2005,15,38,16,4.842261,0,256
1997,12,26,7,4.993121,0,49
1998,13,27,7,7.158804,0,49
1999,12,28,9,6.79204,0,81
2000,12,29,10,6.769367,0,100
2002,10,31,14,9.567933,0,196
2003,8,32,17,9.682926,0,289
2005,12,34,15,11.18469,0,225
1998,10,18,1,2.56547,1,1
1996,12,50,31,5.73293,0,961
1996,4,48,37,3.048845,0,1369
1997,2,48,39,3.200283,0,1521
1998,4,50,39,3.920201,0,1521
