"year","educ","age","exp","income","non_white","exp_sq"
1999,14,24,3,7.201935,0,9
2000,16,25,2,7.633918,0,4
2004,13,29,9,9.183901,0,81
2005,14,30,9,10.71011,0,81
2005,8,21,6,1.353157,0,36
1996,13,30,10,13.71331,0,100
1998,6,31,18,15.00332,0,324
1999,9,32,16,8.308591,0,256
1999,11,33,15,12.53352,0,225
2000,12,34,15,13.5307,0,225
2002,9,36,20,23.73204,0,400
2003,8,37,22,28.25083,0,484
2004,12,38,19,22.16895,0,361
2005,8,39,24,28.68361,0,576
1996,14,33,12,19.44249,0,144
1996,11,30,12,13.16552,0,144
1997,14,31,10,14.14911,0,100
1998,9,32,16,11.1493,0,256
1999,11,33,15,18.3865,0,225
2000,11,34,16,25.87541,0,256
2002,13,36,16,20.01937,0,256
2003,10,37,20,35.55103,0,400
2004,12,38,19,49.05352,0,361
2005,13,39,19,25.04388,0,361
1996,10,42,25,14.99853,1,625
1997,12,43,24,19.84161,1,576
1998,11,44,26,25.01816,1,676
2000,12,46,27,24.03786,1,729
1996,14,37,16,15.07685,0,256
1998,9,39,23,,0,529
2003,9,44,28,14.42892,0,784
1999,6,41,28,0,0,784
2000,11,42,24,7.731475,0,576
2002,6,44,31,7.214325,0,961
2003,8,45,30,10.80931,0,900
2004,7,46,32,6.658626,0,1024
2005,6,47,34,7.440557,0,1156
1996,17,33,9,19.59558,0,81
1997,16,34,11,24.93788,0,121
1998,13,35,15,24.42415,0,225
1999,12,36,17,21.82105,0,289
2000,18,37,12,28.65835,0,144
2002,15,39,17,40.0887,0,289
2003,15,40,18,35.49412,0,324
2004,15,41,19,37.04809,0,361
2005,14,42,21,40.93949,0,441
1996,17,29,5,16.04546,0,25
1997,11,30,12,16.05079,0,144
1998,15,31,9,15.72246,0,81
1999,13,32,12,26.59957,0,144
2000,15,33,11,27.95106,0,121
2002,15,35,13,37.72791,0,169
1996,5,44,32,1.013372,0,1024
1996,7,33,19,14.76042,0,361
1997,13,34,14,15.26321,0,196
1998,12,35,16,16.28658,0,256
1996,8,32,17,4.492087,1,289
1997,12,33,14,8.605468,1,196
1998,9,34,18,7.526024,1,324
1999,7,35,21,8.02853,1,441
2000,11,36,18,8.288037,1,324
2002,13,38,18,8.092924,1,324
2003,12,39,20,8.12894,1,400
2004,12,40,21,12.06868,1,441
2005,11,41,23,16.43482,1,529
1996,14,47,26,29.9609,1,676
1997,12,48,29,26.89468,1,841
1998,19,49,23,28.14115,1,529
1999,14,50,29,,1,841
1996,14,49,28,7.817608,0,784
1997,16,50,27,10.60234,0,729
1998,8,37,22,2.115594,0,484
1996,12,34,15,39.86213,1,225
1997,15,35,13,65.51847,1,169
1998,17,36,12,48.69734,1,144
1999,15,37,15,50.29408,1,225
2000,17,39,15,70.64054,1,225
2002,17,40,16,41.46243,1,256
2003,15,41,19,66.67552,1,361
2004,14,42,21,43.87593,1,441
2005,17,43,19,56.21915,1,361
1996,13,42,22,38.73319,0,484
1997,11,43,25,33.03451,0,625
1998,13,44,24,33.38673,0,576
2000,12,45,26,43.3274,0,676
2000,14,46,25,38.72243,0,625
2002,15,48,26,40.34727,0,676
2003,14,48,27,55.12317,0,729
2004,13,50,30,55.72956,0,900
2002,11,47,29,7.497342,0,841
2003,11,48,30,5.162653,0,900
2004,15,49,27,6.688339,0,729
2005,15,50,28,5.596386,0,784
1998,17,38,14,10.30049,1,196
1999,19,39,13,13.59254,1,169
2000,14,40,19,13.91705,1,361
2002,17,42,18,8.973549,1,324
2004,16,44,21,4.794485,1,441
1996,6,33,20,3.625681,1,400
1997,7,34,20,6.235454,1,400
1998,10,35,18,9.244363,1,324
1999,4,36,25,9.913279,1,625
2000,10,37,20,11.84343,1,400
2002,6,39,26,12.62587,1,676
2003,6,40,27,13.459,1,729
2004,11,41,23,15.74755,1,529
2005,5,42,30,13.83633,1,900
1997,13,40,20,5.3602,0,400
1998,8,41,26,7.675549,0,676
1999,12,42,23,8.427223,0,529
2000,6,43,30,8.463506,0,900
2004,8,47,32,15.21572,0,1024
2005,6,48,35,13.18874,0,1225
1996,14,43,22,9.667566,1,484
1997,17,44,20,16.90781,1,400
1998,11,45,27,15.60029,1,729
1999,15,46,24,18.54599,1,576
2000,16,47,24,16.43031,1,576
1996,17,38,14,,0,196
1998,12,40,21,0,0,441
1998,18,39,14,,0,196
2000,15,41,19,,0,361
2000,15,41,19,,0,361
2004,15,45,23,13.0331,0,529
2005,19,46,20,,0,400
1996,14,40,19,21.97227,1,361
1997,12,41,22,8.653321,1,484
1998,16,42,19,10.81273,1,361
1999,10,43,26,21.33651,1,676
2000,10,44,27,10.9932,1,729
2002,17,46,22,20.99586,1,484
2003,12,47,28,20.19173,1,784
2004,11,48,30,30.46963,1,900
2005,15,49,27,32.08757,1,729
1996,11,40,22,13.53734,1,484
1997,17,41,17,14.89403,1,289
1998,17,42,18,15.8168,1,324
1999,16,43,20,18.48322,1,400
2000,12,44,25,18.90939,1,625
2002,12,46,27,24.83815,1,729
2003,11,47,29,26.85486,1,841
2004,11,48,30,25.67366,1,900
2005,12,49,30,39.29561,1,900
1996,11,28,10,11.04766,1,100
1997,11,29,11,10.7585,1,121
1998,11,30,12,10.6523,1,144
1999,15,31,9,12.84878,1,81
2000,15,32,10,12.82136,1,100
2002,12,34,15,17.47848,1,225
2003,14,35,14,7.988265,1,196
2005,13,37,17,9.491549,1,289
1996,16,30,7,3.293686,0,49
1997,12,31,12,4.245896,0,144
2002,14,36,15,10.43134,0,225
2003,15,37,15,8.605005,0,225
2004,12,38,19,17.87485,0,361
1998,9,42,26,15.29714,0,676
1998,16,43,20,20.85146,0,400
1999,13,44,24,16.81461,0,576
1996,16,45,22,14.01091,0,484
1998,17,46,22,18.14248,0,484
1998,13,47,27,17.58071,0,729
1999,13,48,28,19.26312,0,784
